
tar cvf archive_name.tar dirname/	Create a new tar archive
tar xvf archive_name.tar	Extract from an existing tar archive.
tar tvf archive_name.tar	View an existing tar archive.
grep -i "the" demo_file	Search for a given string in a file (case in-sensitive search).
grep -A 3 -i "example" demo_text	Print the matched line, along with the 3 lines after it.
grep -r "ramesh" *	Search for a given string in all files recursively
find -iname "MyCProgram.c"	Find files using file-name ( case in-sensitve find)
find -iname "MyCProgram.c" -exec md5sum {} \;	Execute commands on files found by the find command
find ~ -empty	Find all empty files in home directory
ssh -l jsmith remotehost.example.com	Login to remote host
ssh -v -l jsmith remotehost.example.com	Debug ssh client
ssh -V	Display ssh client version
sed 's/.$//' filename	When you copy a DOS file to Unix, you could find \r\n in the end of each line. This example converts the DOS file format to Unix file format using sed command.
sed -n '1!G;h;$p' thegeekstuff.txt	Print file content in reverse order
sed '/./=' thegeekstuff.txt | sed 'N; s/\n/ /'	Add line number for all non-empty-lines in a file
awk '!($0 in array) { array[$0]; print }' temp	Remove duplicate lines using awk
awk -F ':' '$3==$4' passwd.txt	Print all lines from /etc/passwd that has the same uid and gid
awk '{print $2,$5;}' employee.txt	Print only specific field from a file.
vim +143 filename.txt	Go to the 143rd line of file
vim +/search-term filename.txt	Go to the first match of the specified
vim -R /etc/passwd	Open the file in read only mode.
diff -w name_list.txt name_list_new.txt	Ignore white space while comparing.
sort names.txt	Sort a file in ascending order
sort -r names.txt	Sort a file in descending order
sort -t: -k 3n /etc/passwd | more	Sort passwd file by 3rd field.
export | grep ORACLE	To view oracle related environment variables.
export ORACLE_HOME=/u01/app/oracle/product/10.2.0	To export an environment variable:
ls *.jpg | xargs -n1 -i cp {} /external-hard-drive/directory	Copy all images to external hard-drive
find / -name *.jpg -type f -print | xargs tar -cvzf images.tar.gz	Search all jpg images in the system and archive it.
cat url-list.txt | xargs wget –c	Download all the URLs mentioned in the url-list.txt file
ls -lh	Display filesize in human readable format (e.g. KB, MB etc.,)
ls -ltr	Order Files Based on Last Modified Time (In Reverse Order) Using ls -ltr
ls -F	Visual Classification of Files With Special Characters Using ls -F
gzip test.txt	To create a *.gz compressed file:
gzip -d test.txt.gz	To uncompress a *.gz file:
gzip -l *.gz	Display compression ratio of the compressed file using gzip -l
bzip2 test.txt	To create a *.bz2 compressed file:
bzip2 -d test.txt.bz2	To uncompress a *.bz2 file:
unzip test.zip	To extract a *.zip compressed file:
unzip -l jasper.zip	View the contents of *.zip file (Without unzipping it):
shutdown -h now	Shutdown the system and turn the power off immediately.
shutdown -h +10	Shutdown the system after 10 minutes.
shutdown -r now	Reboot the system using shutdown command.
shutdown -Fr now	Force the filesystem check during reboot.
ftp IP/hostname	
ftp> mget *.html	Both ftp and secure ftp (sftp) has similar commands. To connect to a remote server and download multiple files, do the following.
ftp> mls *.html -	To view the file names located on the remote server before downloading, mls ftp command as shown below.
crontab -u john -l	View crontab entry for a specific user
*/10 * * * * /home/ramesh/check-disk-space	Schedule a cron job every 10 minutes.
service ssh status	Check the status of a service:
service --status-all	Check the status of all the services
service ssh restart	Restart a service
ps -ef | more	To view current running processes.
ps -efH | more	To view current running processes in a tree structure. H option stands for process hierarchy.
free	This command is used to display the free, used, swap memory available in the system. The output is displayed in bytes.
free -g	If you want to quickly check how many GB of RAM your system has use the -g option. -b option displays in bytes, -k in kilo bytes, -m in mega bytes.
free -t	If you want to see a total memory ( including the swap), use the -t switch, which will display a total line as shown below.
top	displays the top processes in the system ( by default sorted by cpu usage ). To sort top output by any column, Press O (upper-case O) , which will display all the possible columns that you can sort by as shown below.
top -u oracle	To displays only the processes that belong to a particular user use -u option. The following will show only the top processes that belongs to oracle user.
df -k	Displays the file system disk space usage. By default df -k displays output in bytes.
df -h	displays output in human readable form. i.e size will be displayed in GB’s.
df -T	displays type of file system
ps -ef | grep firefox kill -9 1986	Kill the firefox process
killall -9 firefox	Kill the firefox process
pkill sample	Send SIGTERM to all the process which has sample in its name
rm -i filename.txt	Get confirmation before removing the file.
rm -i file*	Print the filename and get confirmation before removing the file.
rm -r example	recursively removes all files and directories under the example directory. This also removes the example directory itself.
cp -p file1 file2	Copy file1 to file2 preserving the mode, ownership and timestamp.
cp -i file1 file2	Copy file1 to file2. if file2 exists prompt for confirmation before overwritting it.
mv -i file1 file2	Rename file1 to file2. if file2 exists prompt for confirmation before overwritting it.
mv -v file1 file2	print what is happening during file rename, which is useful while specifying shell metacharacters in the file name argument.
cat file1 file2	You can view multiple files at the same time. Following example prints the content of file1 followed by file2 to stdout.
cat -n /etc/logrotate.conf	While displaying the file, following cat -n command will prepend the line number to each line of the output.
mount /dev/sdb1 /u01	To mount a file system, you should first create a directory and mount it.
/dev/sdb1 /u01 ext2 defaults 0 2	add this to the fstab for automatic mounting. i.e Anytime system is restarted, the filesystem will be mounted.
chmod ug+rwx file.txt	Give full access to user and group (i.e read, write and execute ) on a specific file.
chmod g-rwx file.txt	Revoke all access for the group (i.e read, write and execute ) on a specific file.
chmod -R ug+rwx file.txt	Apply the file permissions recursively to all the files in the sub-directories.
chown oracle:dba dbora.sh	To change owner to oracle and group to db on a file. i.e Change both owner and group at the same time.
chown -R oracle:dba /home/oracle	Use -R to change the ownership recursively.
passwd	Change your password from command line using passwd. This will prompt for the old password followed by the new password.
passwd USERNAME	Super user can use passwd command to reset others password. This will not prompt for current password of the user.
passwd -d USERNAME	Remove password for a specific user. Root user can disable password for a specific user. Once the password is disabled, the user can login without entering the password.
mkdir ~/temp	Following example creates a directory called temp under your home directory.
mkdir -p dir1/dir2/dir3/dir4/	Create nested directories using one mkdir command. If any of these directories exist already, it will not display any error. If any of these directories doesn’t exist, it will create them.
ifconfig -a	View all the interfaces along with status.
ifconfig eth0 up(down)	Start or stop a specific interface using up and down command as shown below.
uname -a	Uname command displays important information about the system such as — Kernel name, Host name, Kernel release number, Processor type, etc.,
whereis ls	find out where a specific Unix command exists (for example, where does ls command exists?), you can execute the following command.
whereis -u -B /tmp -f lsmk	search an executable from a path other than the whereis default path, you can use -B option and give path as argument to it. This searches for the executable lsmk in the /tmp directory, and displays it, if it is available.
whatis ls	displays a single line description about a command.
locate	quickly search for the location of a specific file (or group of files). Locate command uses the database created by updatedb.
locate crontab	shows all files in the system that contains the word crontab in it.
man <command>	Display the man page of a specific command.
man SECTION-NUMBER <command>	When a man page for a command is located under more than one section, you can view the man page for that command from a specific section as shown below.
tail filename.txt	Print the last 10 lines of a file by default.
tail -n N filename.txt	Print N number of lines from the file named filename.txt
tail -f log-file	View the content of the file in real time using tail -f. This is useful to view the log files, that keeps growing. The command can be terminated using CTRL-C.
less huge-log-file.log	less is very efficient while viewing huge log files, as it doesn’t need to load the full file while opening.
CTRL+F – forward one window
CTRL+B – backward one window
su - USERNAME	Switch to a different user account using su command. Super user can switch to any other user without entering their password.
su - raj -c 'ls'	Execute a single command from a different account name. 
su -s 'SHELLNAME' USERNAME	Login to a specified user account, and execute the specified shell instead of the default shell.
mysql -u root -p -h 192.168.1.2	To connect to a remote mysql database. This will prompt for a password.
mysql -u root -p	To connect to a local mysql database.
yum install httpd	To install apache using yum.
yum update httpd	To upgrade apache using yum.
yum remove httpd	To uninstall/remove apache using yum.
rpm -ivh httpd-2.2.3-22.0.1.el5.i386.rpm	To install apache using rpm.
rpm -uvh httpd-2.2.3-22.0.1.el5.i386.rpm	To upgrade apache using rpm.
rpm -ev httpd	To uninstall/remove apache using rpm.
ping -c 5 gmail.com	Ping a remote host by sending only 5 packets.
date -s "01/31/2010 23:59:53"	Set the system date
hwclock --systohc –utc	Once you’ve changed the system date, you should syncronize the hardware clock with the system date as shown below.
wget http://prdownloads.sourceforge.net/sourceforge/nagios/nagios-3.2.1.tar.gz	The quick and effective method to download software, music, video from internet is using wget command.
wget -O taglist.zip http://www.vim.org/scripts/download_script.php?src_id=7701	Download and store it with a different name.
updatedb [options(s)]	This command performs an update of the database used by locate. To include files in all existing directories, run the program as root. It also makes sense to place it in the background by appending an ampersand (&), so you can immediately continue working on the same command line (updatedb &).
df [option(s)] [directory]	The df (disk free) command, when used without any options, displays information about the total disk space, the disk space currently in use, and the free space on all the mounted drives. If a directory is specified, the information is limited to the drive on which that directory is located.
df -H [directory]	shows the number of occupied blocks in gigabytes, megabytes, or kilobytes — in human-readable format
df -t [directory]	Type of file system (ext2, nfs, etc.)
du [option(s)] [path]	This command, when executed without any parameters, shows the total disk space occupied by files and subdirectories in the current directory.
du -a [path]	Displays the size of each individual file
du -h [path]	Output in human-readable form
du -s [path]	Displays only the calculated total size
top [options(s)]	top provides a quick overview of the currently running processes. Press H to access a page that briefly explains the main options to customize the program.
nslookup	The Domain Name System resolves domain names to IP addresses. With this tool, send queries to information servers (DNS servers).
telnet [option(s)] host name or IP address	Telnet is actually an Internet protocol that enables you to work on remote hosts across a network. telnet is also the name of a Linux program that uses this protocol to enable operations on remote computers. 
halt [option(s)]	To avoid loss of data, you should always use this program to shut down your system.
reboot [option(s)]	Does the same as halt with the difference that the system performs an immediate reboot.
clear	This command cleans up the visible area of the console. It has no options.




